State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.48691	3.49406	3.50790	3.50027	3.50265	3.48786	3.46734	3.43822	3.39002	3.35900	3.30984	3.20580	3.11607	3.05212	2.96478	2.86694	2.76385	2.66171	2.55337	2.49562	2.42690
2	3.86101	3.85666	3.83490	3.76960	3.75219	3.68254	3.53890	3.48231	3.38220	3.20808	3.11667	2.95997	2.82503	2.70314	2.56821	2.42456	2.35491	2.32880	2.41150	2.39409	2.43327
3	0.51251	0.49521	0.47251	0.45413	0.43575	0.45088	0.45413	0.42277	0.40980	0.40115	0.40006	0.40439	0.42277	0.45196	0.44548	0.45413	0.45196	0.46386	0.46278	0.47035	0.47251
4	1.49381	1.47002	1.52235	1.48429	1.52235	1.54138	1.48905	1.67459	1.67459	1.62701	1.50332	1.49857	1.48905	1.37012	1.36060	1.27497	1.20361	1.15128	1.22264	1.23691	1.19410
5	3.18373	3.30525	3.44297	3.71841	3.88043	3.78322	4.05055	4.11536	4.24498	4.18827	4.09916	4.01815	3.98574	3.69410	3.61309	3.67790	3.71031	3.40246	3.24854	3.05412	3.02171
6	1.37407	1.39839	1.43487	1.39318	1.37233	1.45745	1.45572	1.48525	1.50088	1.45745	1.33412	1.48698	1.51652	1.51825	1.54431	1.51478	1.53562	1.53389	1.57210	1.60511	1.65201
7	0.89457	0.86624	0.91076	0.82576	0.92696	0.97553	0.85814	0.96743	0.97148	0.99172	1.02410	1.06863	1.13340	1.10911	1.04839	1.11316	1.12935	1.11316	1.21840	1.22650	1.20221
8	1.41550	1.32900	1.12453	1.23463	1.15599	1.14026	1.35259	1.26608	1.33686	1.59637	1.56491	1.72219	1.73005	1.65141	1.71432	1.62782	1.68287	1.76937	1.61209	1.61209	1.58850
9	3.91486	3.83157	3.90296	3.89106	3.62928	3.46269	3.35559	3.46269	3.41509	3.49839	3.55788	3.52218	3.49839	3.52218	3.12951	3.04621	2.99862	2.89152	3.04621	3.09381	2.90342
10	4.81074	4.71654	4.50796	4.43395	4.31957	4.22537	4.09081	3.68711	3.45162	3.15557	2.87971	2.63077	2.49620	2.47602	2.59712	2.63749	2.78552	2.83934	2.70478	2.69132	2.77879
11	3.96656	3.96083	3.79460	3.53666	3.57105	3.60544	3.74874	3.69142	3.68569	3.50226	3.32457	3.34750	3.20993	3.31311	3.45641	3.61117	3.53092	3.57678	3.47360	3.41628	3.39336
12	4.39953	4.73342	4.83162	4.96911	4.65486	4.57629	4.41917	4.10492	3.75138	3.08360	2.39617	2.18012	1.96407	1.86587	2.08192	2.16048	2.23905	2.16048	2.10156	2.02300	2.18012
13	1.27484	1.25334	1.25437	1.24720	1.24617	1.21443	1.21238	1.24925	1.24310	1.26256	1.29020	1.29020	1.29225	1.29020	1.25846	1.22979	1.21238	1.20317	1.19190	1.19293	1.16733
14	0.65213	0.65412	0.65465	0.65893	0.66212	0.66265	0.66353	0.66746	0.67409	0.68305	0.69684	0.70293	0.71424	0.72338	0.73315	0.74313	0.75417	0.76619	0.77652	0.78218	0.78836
15	1.46196	1.31448	1.30807	1.39143	1.15418	1.32731	1.63509	1.47479	1.57097	1.55815	1.50685	1.83387	1.66074	1.62227	1.70562	1.85952	1.73768	1.64792	1.58379	1.59021	1.66715
