State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.72162	0.67401	0.63315	0.58555	0.53416	0.49245	0.45538	0.41662	0.38166	0.37071	0.36439	0.36986	0.38166	0.40020	0.41789	0.45454	0.51394	0.58723	0.69339	0.81893	0.94362
2	1.27557	1.04889	0.84910	0.76841	0.76457	0.71463	0.72999	0.71847	0.79147	0.77610	0.84526	0.85294	0.90673	0.90673	0.90289	0.92210	0.98357	1.16415	1.47151	2.05935	2.66256
3	1.26549	1.14047	0.94769	0.77304	0.61461	0.50009	0.43901	0.38556	0.34644	0.33689	0.32544	0.33117	0.33785	0.36171	0.37984	0.43996	0.64802	1.12043	1.72550	2.34584	2.91655
4	4.71976	4.80794	4.58119	3.79596	2.69161	1.92318	1.42768	1.31431	1.25132	1.27652	1.23033	1.12535	1.12955	1.22193	1.49907	2.96035	6.43298	10.04838	12.84496	13.83594	13.64279
5	1.84481	1.84481	1.69465	1.78046	1.73040	1.59455	1.45154	1.35143	1.10832	1.00106	0.90811	0.89380	0.82230	0.87235	1.05111	1.25848	1.56594	2.00212	2.23809	2.48120	2.53125
6	1.92426	2.05919	2.19719	2.29685	2.36891	2.43025	2.26772	2.02393	1.77094	1.74180	1.72647	1.54861	1.29869	1.25115	1.35542	1.44281	1.59308	1.58234	1.63141	1.59154	1.52714
7	1.63635	1.67923	1.66494	1.62921	1.68280	1.76140	1.70424	1.70066	1.42556	1.02897	0.94680	0.79674	0.75744	0.82890	0.73243	0.71814	0.67169	0.76816	0.79317	0.72528	0.79317
8	2.31831	2.48489	2.65148	2.74865	3.07488	3.50523	3.93557	3.96334	4.16463	3.06794	1.92961	1.87408	1.72138	1.40903	1.28409	1.37433	1.40903	1.50621	1.49927	1.49927	1.50621
9	4.96786	5.79759	7.04743	9.03248	13.32816	20.05000	31.46663	48.05068	65.67451	72.27032	72.65893	68.39476	51.59015	35.79382	23.41092	14.90359	9.78868	6.93190	5.25144	4.07512	3.24539
10	7.44123	9.08626	11.43205	13.82536	16.29587	17.96465	18.22596	17.11542	14.82307	11.36673	13.83130	30.23407	42.45003	51.01962	55.43803	55.12922	49.83187	41.80271	33.51225	26.80148	21.34973
11	4.75580	5.53494	6.84026	9.61279	12.91655	17.04499	22.33202	27.65953	32.00553	38.33985	39.51868	27.74048	24.01173	21.27462	19.70116	17.64706	14.43436	11.11036	8.00391	5.89922	4.76086
12	3.86590	4.03926	4.80204	5.99822	7.19439	9.63875	12.25647	15.55029	20.62970	26.43723	30.40714	32.74749	31.42996	27.35603	22.25928	17.92531	14.18075	10.48821	8.28655	6.67432	5.39146
13	2.02272	2.09683	2.15739	2.17727	2.18902	2.14835	2.07062	1.93053	1.69645	1.40723	1.20658	1.17857	1.34758	1.58347	1.85100	2.05435	2.21433	2.35442	2.38786	2.38786	2.35171
14	0.79492	0.77683	0.75554	0.72450	0.68255	0.62364	0.55042	0.46823	0.39746	0.35613	0.34034	0.34498	0.35820	0.37921	0.40124	0.42737	0.45497	0.48004	0.50203	0.51817	0.53151
15	1.53377	1.64696	1.52811	1.46019	1.26776	1.19985	1.10363	0.96780	0.95082	1.42623	1.10363	0.65652	0.57728	0.54899	0.57728	0.71878	0.77537	0.91120	0.87159	0.93384	0.95648
