State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	7.28485	0.44910	3.86429	2.22041	3.30971	0.36440	0.56560	0.29356
2	0.79874	0.62630	4.64170	2.30754	3.11264	0.84528	1.03285	0.10995
3	3.21553	0.19887	0.44694	2.27381	0.40011	0.32545	0.79850	0.18076
4	0.73083	0.52560	1.48459	2.26412	1.50348	1.23037	3.88585	0.12418
5	0.42918	0.93614	3.75147	2.16179	4.09959	0.90813	1.49948	0.19938
6	2.00147	1.01692	1.28777	0.99433	1.33426	1.72652	1.85323	0.65917
7	0.85893	0.12304	0.77536	0.97318	1.02421	0.94683	1.24012	0.58476
8	0.44212	0.70167	1.27429	1.32231	1.56507	1.92967	2.35854	0.35917
9	0.29219	60.06578	9.03567	1.34697	3.55825	72.65066	23.94171	0.26358
10	0.51674	25.63673	5.78090	2.22010	2.88001	13.83172	22.68527	0.16514
11	0.60656	43.20311	5.89519	1.20570	3.32492	39.51989	16.90317	0.40642
12	0.17702	81.65355	8.40196	1.22760	2.39642	30.40808	15.25705	0.71795
13	3.39542	1.97103	1.18660	0.97935	1.29034	1.20662	2.06965	1.24730
14	78.70821	0.17587	0.56910	0.79200	0.69686	0.34035	0.55762	1.13991
15	0.54222	0.66223	1.27275	0.96881	1.50701	1.10367	1.10392	1.00354
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
