State (Emission order)	H3k27ac	H3k9ac	H3k4me3	H3k4me2	H3k4me1	H3k27me3	H4k20me1	H3k79me2	H3k36me3	Ctcf
1	0.0011421351071994683	0.0034846681275205542	9.030492962979901E-5	1.090248944685508E-9	0.0017872265938778987	1.38023603081762E-4	0.007488835393644918	0.03315722481097018	0.206512761201803	0.0057450847906843575
2	0.010716069079734445	0.008850069157061925	4.557494492186718E-4	0.003743286972351628	0.028286299335506603	8.136023313893618E-5	0.12306118000734827	0.7702206371711915	0.5705041338494694	0.011601915654640138
3	0.003003400530388342	0.003603320196464379	3.599411203568286E-5	0.0020377049662925724	0.019236981491176405	3.2747808006089614E-4	0.036188681769192384	0.6949380156590417	0.031024367135358635	0.006080601682127683
4	0.2786306808339769	0.049465109496636094	0.055347488228762044	0.525461893441974	0.6997282078278001	1.6231945252844973E-4	0.1288020759767054	0.9301486315388414	0.1260034385910273	0.01873691502347601
5	0.18078528758174986	0.014065025210816868	0.0010401251001614358	0.16118954461775545	0.6493000072143951	8.678071844740634E-5	0.03104430298148524	0.14520020267341813	0.150245671452385	0.03505765264413013
6	0.011561073516728654	0.007556569290091899	2.4347812076543258E-4	0.2053468243238904	0.6663636837151716	0.0013334467601288722	0.005226383747528199	0.0016643334399076353	0.0011295713545633227	0.015024201508301289
7	0.7861882724075855	0.05824463590145216	0.0015359892870561425	0.4310858317602086	0.6960770833631058	1.2655642221098495E-4	0.00178672485860876	0.0013430809369821338	0.0010128515166739033	0.01993860966713584
8	0.9870619597245307	0.5466581862413415	0.23461963615920864	0.9596266623927798	0.8732763181106478	1.6670919871826783E-4	0.010324729012374103	0.08134352850110979	0.014592748215999624	0.037158162160114916
9	0.8663074054118121	0.7023438806836894	0.9908777867934535	0.9711260150993476	0.28729876083034456	0.004300198354427209	0.003289617252548785	0.053969594618316206	7.515472065460439E-19	0.09785652459002415
10	0.6964938044616913	0.6919269205325789	0.9823146652441432	0.9919837431394968	0.3206554266271271	0.0063470210000291715	0.07414153015874612	0.9822530222708739	0.06583287445769148	0.03855994929985495
11	0.05977979555164652	0.04556838642435827	0.6408145403421434	0.944932757012993	0.5495637615317832	0.009663627030990881	0.007311273876110858	0.03333275822930731	8.872698948050448E-4	0.12788383898575087
12	0.009004534569504915	0.08718453663108289	0.4764236899707428	0.7056648757464854	0.6298977425946188	0.7092424350048637	0.19444834529945065	0.011099954387939563	0.05716767230358494	0.09415813065291107
13	1.9990924501396126E-5	0.005556509668230073	2.998473455789615E-4	4.761832944464888E-4	0.0023513550909958036	0.14270379630268756	0.022592549107184577	6.026932162441259E-5	2.722351174778279E-4	0.003593263062809469
14	1.193981732004099E-4	0.0014548823741519531	6.300262341767738E-5	9.169955956696739E-5	6.152665756608879E-4	0.002587933419367317	0.0016463294271051644	2.2594839482102598E-4	6.275347728979032E-4	3.567630094924856E-4
15	0.0015205046148220557	0.0044439961744797965	3.426668378844194E-4	0.032786554223148245	0.03693226378538667	0.0031403434989298994	0.00926836413557733	0.001021439014121756	0.0025785361431233784	0.8629591015074063
