15	10	E	-7041639.959680696	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	2.9006567889951495E-239
probinit	14	1.0
probinit	15	0.0
transitionprobs	1	1	0.9670972571850807
transitionprobs	1	2	0.006190725548634098
transitionprobs	1	3	0.006736845348627426
transitionprobs	1	4	0.0
transitionprobs	1	5	0.009780848154977036
transitionprobs	1	6	0.0011353237700514334
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	3.1669761745209944E-5
transitionprobs	1	11	5.040172578108151E-4
transitionprobs	1	12	9.089327853380626E-6
transitionprobs	1	13	0.0
transitionprobs	1	14	0.007357097824711938
transitionprobs	1	15	0.0011571258205079827
transitionprobs	2	1	0.05302757043458641
transitionprobs	2	2	0.8843709696841303
transitionprobs	2	3	0.04275981329655801
transitionprobs	2	4	0.017038911553515352
transitionprobs	2	5	0.0027589405814858066
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	6.353478272684651E-7
transitionprobs	2	11	1.684871565481882E-5
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.0
transitionprobs	2	15	2.6310386242162183E-5
transitionprobs	3	1	0.0155479084773997
transitionprobs	3	2	0.011501351885960335
transitionprobs	3	3	0.9378704369337295
transitionprobs	3	4	0.028976399184105703
transitionprobs	3	5	0.0036134813589640134
transitionprobs	3	6	3.0549778536117656E-5
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	4.2111610844786074E-4
transitionprobs	3	11	3.952317495655658E-4
transitionprobs	3	12	4.787727207155368E-6
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0016005792332174549
transitionprobs	3	15	3.81575628665581E-5
transitionprobs	4	1	1.144932312032606E-4
transitionprobs	4	2	0.02051007860554997
transitionprobs	4	3	0.12335824312028164
transitionprobs	4	4	0.7722098033210077
transitionprobs	4	5	0.012721086175248761
transitionprobs	4	6	0.0
transitionprobs	4	7	0.0034785917740337365
transitionprobs	4	8	0.014004690523274617
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0496310703553001
transitionprobs	4	11	0.003962040789749212
transitionprobs	4	12	0.0
transitionprobs	4	13	0.0
transitionprobs	4	14	0.0
transitionprobs	4	15	9.90210435088223E-6
transitionprobs	5	1	0.15367458105216988
transitionprobs	5	2	0.004269818535413654
transitionprobs	5	3	0.025573689052983316
transitionprobs	5	4	0.021801226021387864
transitionprobs	5	5	0.7296316562803002
transitionprobs	5	6	0.004359152161401967
transitionprobs	5	7	0.024767894496712867
transitionprobs	5	8	0.03226651472496101
transitionprobs	5	9	0.0011812508537397419
transitionprobs	5	10	6.879104556495898E-4
transitionprobs	5	11	0.0
